,concepts,definitions,source
20,Gobierno del dato ,"Son estructuras y metodologías para gestionar la información, que tienen  por objeto asegurarse de que los datos son siempre fiables y válidos en cada contexto empresarial, que su calidad se mantiene a lo largo del tiempo y que existen mecanismos de control sobre quién puede hacer qué con los datos en cada momento. Para lograr estos objetivos es necesario establecer un conjunto de estándares, procesos y políticas que rijan el desarrollo y la utilización de los datos a nivel corporativo.   ",book1
21,Data Wrangling,"Es un proceso, que consiste en el correcto almacenamiento de los datos, su procesamiento y la preparación de los mismos  para las consultas, hecho que permite disponer los datos con la mejor calidad y accesibilidad para su análisis",book1
22,Aprendizaje automático ,"El Aprendizaje automático (del inglés: Machine Learning ) es una disciplina científica, procedente de la Inteligencia artificial, que estudia cómo los sistemas pueden ser programados para aprender y mejorar con la experiencia, sin intervención humana. Para abordar este problema, diariamente surgen nuevos paradigmas que permiten descubrir conocimiento a partir de datos específicos, basándose en sólidos principios estadísticos y computacionales. ",book1
23,Nearest Neighbor,"Es un algoritmo, que ha sido  ampliamente utilizado como una técnica no paramétrica en reconocimiento de  patrones, debido a su sencillez y buen desempeño",book1
24,Redes neuronales profundas ,"Uno de los enfoques que está recibiendo más interés por parte de la comunidad científica hace referencia a las  “Neural Networks” . Estas redes  se inspiran en el sistema nervioso animal, constituido por un sistema de células que colaboran entre sí para prod ucir una respuesta a un estímulo externo. A medida que la topología de estos sistemas se complica, nos acercamos a lo que se conoce como “Deep Learning” , un nuevo concepto marketiniano concebido para denominar a las “redes neuronales profundas”. La idea ba jo este nuevo paradigma es que, con un gran número de neuronas y muchos niveles de interconexión entre ellas, se pueden mejorar las predicciones en conjuntos de datos complejos. ",book1
25,Test de Turing,Es una prueba de la habilidad de una máquina para exhibir un comportamiento inteligente similar al de un ser humano o indistinguible de este,book1
26,Atributo,"Es una  variable del conjunto de datos o data set , incluyendo sus valores concretos",book1
27,Conjunto de datos ,"Es una colección de datos correspondiente a una o varias variables, habitualmente presentados en forma de tabla.  ",book1
28,Dato no etiquetado,"Es un dato “no clasificado”, es decir, que no tiene una etiqueta",book1
29,Ejemplo,Es la unión de la instancia con su etiqueta correspondiente,book1
30,Etiqueta o dato etiquetado,"Es el valor real concreto de la variable respuesta, obtenido a partir de un hecho sucedido en la realidad",book1
31,Instancia,Es un conjunto de todos los atributos o variables de un conjunto de datos o data set,book1
32,Kmeans,Es un método que permite crear clusters  de datos numéricos,book1
33,Métrica,"Es la m edida utilizada para evaluar el  desempeño del modelo aprendido como, por ejemplo, la precisión o la cantidad de errores cometidos",book1
34,Métodos basados en árboles,Los métodos basados en árboles consisten en segmentar el espacio de predictores en varias regiones,book1
35,Modelo o “Hipótesis”,Es la estructura obtenida tras el proceso de aprendizaje y resume un conjunto de datos para predicción o para clasificación,book1
36,Regresión lineal,"Es un modelo estadístico que permite predecir el valor de una variable cuantitativa (numérica), como una función l ineal de las variables de entrada o predictores",book1
37,Objetivo,Es la métrica que optimiza el algoritmo de aprendizaje,book1
38,Regresión logística,"Es un modelo de regresión generalizado, utilizado como método de clasificación binaria, puesto que, en lugar de valores  numéricos, éste permite estimar la probabilidad de que ocurra (o no) un evento como función de otras variables",book1
39,Variable,Una variable es una magnitud  que puede tomar diferentes valores dentro de un conjunto posible de valores definidos para esa magnitud,book1
40,Variable predictora,Es un atributo o atributos de partida en el estudio,book1
41,Variable respuesta,Es un atributo objetivo del estudio,book1
42,Mantenimiento predictivo ,"Su principal objetivo es minimizar el tiempo no productivo, a través de la instrumentación y el análisis de los datos, para identificar patrones que indican un fallo inminente. Para las cadenas de producc ión, la inactividad produce importantes pérdidas de ingresos. A través de la analítica avanzada, somos capaces de predecir un comportamiento anómalo, adelantándonos a posibles fallos y reduciendo, así, los tiempos de parada y de mantenimiento.  ",book1
43,Predicción de la demanda ,"Es una actividad considerada de máxima importancia en el flujo de suministro entre proveedores y clientes. De hecho, es el primer paso para optimizar la cadena de producción. La empresa cliente necesita datos para estimar qué cantidades de producto debe adquirir con el objetivo de atender la demanda de sus consumidores, y el proveedor necesita datos para estimar el tiempo necesario para atender las necesidades requeridas por su cliente en función de sus procesos productivos. Esto se consigue mediante el análisis de los datos históricos recogidos en los sistemas de información.   ",book1
44,Cloud Computing,"Es un modelo de servicios de IT (Informática), que pone a disposición de los usuarios un servicio, bajo demanda, de acceso a una red de ordenadores y servidores ; dentro de un pool compartido de recursos (red, servidores, almacenamiento, aplicaciones y servicios)",book1
45,Infraestructura como servicio ,"Consiste en la puesta a disposición, por parte de la empresa oferente, de sus servidores (hardware) para que otras empresas puedan utilizarlos como quieran; a través de un entorno virtualizado, que suele ser Internet. ",book1
46,Plataforma como servicio ,"Supone la puesta a disposición de una plataforma y un entorno Big Data, a los que el cliente puede acceder por Internet y realizar sus propios desarrollos. ",book1
47,Software como servicio ,"Consiste en la puesta a disposición de aplicaciones software, a través de Internet (alojadas en la nube",book1
48,Tableau,Es una  herramienta de creación de dashboards  que ofrece una experiencia de exploración visual altamente interactiva e intuitiva para el negocio,book1
49,Carto,Es una plataforma online (Software as a service o SaaS) que permite a los usuarios cargar datos y proporciona herramientas para visualizarlos en mapas interactivos,book1
